year,week,week_start,unweighted_ili,ilitotal,num_of_providers,total_patients
2010,40,2010-10-03,0.604621,168,56,27786
2010,41,2010-10-10,0.887866,216,54,24328
2010,42,2010-10-17,0.744806,209,53,28061
2010,43,2010-10-24,0.783721,228,52,29092
2010,44,2010-10-31,0.812421,225,53,27695
2010,45,2010-11-07,0.732931,187,54,25514
2010,46,2010-11-14,0.803486,236,51,29372
2010,47,2010-11-21,0.958095,198,50,20666
2010,48,2010-11-28,0.903185,260,54,28787
2010,49,2010-12-05,0.96749,272,54,28114
2010,50,2010-12-12,1.12005,316,55,28213
2010,51,2010-12-19,1.30649,268,49,20513
2010,52,2010-12-26,1.4601,258,50,17670
2011,1,2011-01-02,1.17914,328,51,27817
2011,2,2011-01-09,1.69167,407,51,24059
2011,3,2011-01-16,1.52558,370,54,24253
2011,4,2011-01-23,1.86385,512,53,27470
2011,5,2011-01-30,2.37127,577,54,24333
2011,6,2011-02-06,2.33142,697,52,29896
2011,7,2011-02-13,2.65215,726,52,27374
2011,8,2011-02-20,2.45628,618,54,25160
2011,9,2011-02-27,1.93807,532,53,27450
2011,10,2011-03-06,2.04345,585,51,28628
2011,11,2011-03-13,1.7797,481,50,27027
2011,12,2011-03-20,1.51078,424,50,28065
2011,13,2011-03-27,1.5324,459,51,29953
2011,14,2011-04-03,1.39126,399,47,28679
2011,15,2011-04-10,1.28155,364,48,28403
2011,16,2011-04-17,1.25237,291,47,23236
2011,17,2011-04-24,0.991172,247,44,24920
2011,18,2011-05-01,0.912764,244,45,26732
2011,19,2011-05-08,0.750159,200,42,26661
2011,20,2011-05-15,0.812329,214,40,26344
2011,21,2011-05-22,0.954948,248,38,25970
2011,22,2011-05-29,0.914855,202,36,22080
2011,23,2011-06-05,0.875651,254,31,29007
2011,24,2011-06-12,0.940344,218,30,23183
2011,25,2011-06-19,0.814392,177,28,21734
2011,26,2011-06-26,0.74462,155,28,20816
2011,27,2011-07-03,0.771683,138,27,17883
2011,28,2011-07-10,0.75144,167,28,22224
2011,29,2011-07-17,0.742563,163,27,21951
2011,30,2011-07-24,0.708665,154,27,21731
2011,31,2011-07-31,0.651452,153,27,23486
2011,32,2011-08-07,0.679427,164,27,24138
2011,33,2011-08-14,0.607253,142,27,23384
2011,34,2011-08-21,0.601852,143,27,23760
2011,35,2011-08-28,0.620629,134,31,21591
2011,36,2011-09-04,0.578256,121,31,20925
2011,37,2011-09-11,0.637241,163,31,25579
2011,38,2011-09-18,0.667404,169,30,25322
2011,39,2011-09-25,0.837664,216,32,25786
2011,40,2011-10-02,0.66041,190,53,28770
2011,41,2011-10-09,1.1542,297,51,25732
2011,42,2011-10-16,0.933121,275,53,29471
2011,43,2011-10-23,1.02051,301,53,29495
2011,44,2011-10-30,1.04637,315,53,30104
2011,45,2011-11-06,1.00595,306,53,30419
2011,46,2011-11-13,0.861159,261,51,30308
2011,47,2011-11-20,1.0905,241,53,22100
2011,48,2011-11-27,0.863095,261,50,30240
2011,49,2011-12-04,0.834838,245,52,29347
2011,50,2011-12-11,1.02838,296,54,28783
2011,51,2011-12-18,1.28386,319,49,24847
2011,52,2011-12-25,1.42879,279,50,19527
2012,1,2012-01-01,1.21609,295,51,24258
2012,2,2012-01-08,1.1987,333,50,27780
2012,3,2012-01-15,1.26084,314,50,24904
2012,4,2012-01-22,1.18723,353,52,29733
2012,5,2012-01-29,1.14915,338,52,29413
2012,6,2012-02-05,1.11612,312,47,27954
2012,7,2012-02-12,1.13318,320,48,28239
2012,8,2012-02-19,1.33153,305,48,22906
2012,9,2012-02-26,1.07928,298,47,27611
2012,10,2012-03-04,0.949091,261,47,27500
2012,11,2012-03-11,1.14416,292,44,25521
2012,12,2012-03-18,1.22723,320,47,26075
2012,13,2012-03-25,0.727152,197,45,27092
2012,14,2012-04-01,1.08321,289,45,26680
2012,15,2012-04-08,1.04011,279,44,26824
2012,16,2012-04-15,1.11602,260,43,23297
2012,17,2012-04-22,0.858855,235,43,27362
2012,18,2012-04-29,0.677064,178,42,26290
2012,19,2012-05-06,0.845924,215,40,25416
2012,20,2012-05-13,0.76155,196,38,25737
2012,21,2012-05-20,0.787836,200,35,25386
2012,22,2012-05-27,0.757944,156,33,20582
2012,23,2012-06-03,0.665867,161,33,24179
2012,24,2012-06-10,0.704399,171,33,24276
2012,25,2012-06-17,0.714846,173,33,24201
2012,26,2012-06-24,0.709729,168,32,23671
2012,27,2012-07-01,0.810509,145,31,17890
2012,28,2012-07-08,0.792868,185,32,23333
2012,29,2012-07-15,0.730055,166,32,22738
2012,30,2012-07-22,0.605759,134,30,22121
2012,31,2012-07-29,0.666173,144,30,21616
2012,32,2012-08-05,0.725729,159,31,21909
2012,33,2012-08-12,0.666134,150,30,22518
2012,34,2012-08-19,0.545568,122,29,22362
2012,35,2012-08-26,0.604953,139,31,22977
2012,36,2012-09-02,0.717645,148,32,20623
2012,37,2012-09-09,0.756898,186,32,24574
2012,38,2012-09-16,0.635544,165,33,25962
2012,39,2012-09-23,0.660707,170,33,25730
2012,40,2012-09-30,0.691073,195,50,28217
2012,41,2012-10-07,0.721036,177,50,24548
2012,42,2012-10-14,1.04728,301,48,28741
2012,43,2012-10-21,0.700902,199,50,28392
2012,44,2012-10-28,0.7902,189,49,23918
2012,45,2012-11-04,0.657702,180,51,27368
2012,46,2012-11-11,0.796016,219,51,27512
2012,47,2012-11-18,1.04441,218,49,20873
2012,48,2012-11-25,1.01617,301,53,29621
2012,49,2012-12-02,1.61812,480,54,29664
2012,50,2012-12-09,2.06913,622,52,30061
2012,51,2012-12-16,3.07478,907,50,29498
2012,52,2012-12-23,4.3606,831,50,19057
2013,1,2012-12-30,3.0003,697,51,23231
2013,2,2013-01-06,2.57992,753,49,29187
2013,3,2013-01-13,2.37227,716,52,30182
2013,4,2013-01-20,2.48898,672,54,26999
2013,5,2013-01-27,2.06795,605,52,29256
2013,6,2013-02-03,1.92758,486,51,25213
2013,7,2013-02-10,1.66667,444,51,26640
2013,8,2013-02-17,1.59041,373,52,23453
2013,9,2013-02-24,1.30838,358,48,27362
2013,10,2013-03-03,1.46923,365,50,24843
2013,11,2013-03-10,1.40283,387,49,27587
2013,12,2013-03-17,1.39068,366,51,26318
2013,13,2013-03-24,1.46828,411,50,27992
2013,14,2013-03-31,1.51658,433,48,28551
2013,15,2013-04-07,1.57023,441,48,28085
2013,16,2013-04-14,1.3764,300,48,21796
2013,17,2013-04-21,0.870495,236,45,27111
2013,18,2013-04-28,0.942834,253,42,26834
2013,19,2013-05-05,0.908136,242,40,26648
2013,20,2013-05-12,0.783969,205,37,26149
2013,21,2013-05-19,0.610074,152,33,24915
2013,22,2013-05-26,0.673816,142,31,21074
2013,23,2013-06-02,0.513891,128,29,24908
2013,24,2013-06-09,0.688924,169,29,24531
2013,25,2013-06-16,0.585076,134,28,22903
2013,26,2013-06-23,0.602236,146,29,24243
2013,27,2013-06-30,0.602604,112,27,18586
2013,28,2013-07-07,0.521329,126,28,24169
2013,29,2013-07-14,0.603887,133,27,22024
2013,30,2013-07-21,0.447231,102,27,22807
2013,31,2013-07-28,0.481348,116,28,24099
2013,32,2013-08-04,0.585331,115,26,19647
2013,33,2013-08-11,0.44635,101,27,22628
2013,34,2013-08-18,0.525904,121,26,23008
2013,35,2013-08-25,0.37996,97,28,25529
2013,36,2013-09-01,0.256022,22,17,8593
2013,37,2013-09-08,0.431389,105,29,24340
2013,38,2013-09-15,0.532184,137,28,25743
2013,39,2013-09-22,0.495255,131,31,26451
2013,40,2013-09-29,0.621216,196,57,31551
2013,41,2013-10-06,0.702243,227,59,32325
2013,42,2013-10-13,0.838235,238,58,28393
2013,43,2013-10-20,0.714331,224,58,31358
2013,44,2013-10-27,0.752864,230,57,30550
2013,45,2013-11-03,0.792602,252,56,31794
2013,46,2013-11-10,0.858244,265,56,30877
2013,47,2013-11-17,0.808617,250,56,30917
2013,48,2013-11-24,1.04882,226,58,21548
2013,49,2013-12-01,0.840584,256,58,30455
2013,50,2013-12-08,1.24387,360,56,28942
2013,51,2013-12-15,1.3106,359,53,27392
2013,52,2013-12-22,1.87773,340,58,18107
2014,1,2013-12-29,1.93805,326,57,16821
2014,2,2014-01-05,1.33203,396,57,29729
2014,3,2014-01-12,1.82443,547,56,29982
2014,4,2014-01-19,1.74202,445,56,25545
2014,5,2014-01-26,1.58231,478,56,30209
2014,6,2014-02-02,1.99802,525,55,26276
2014,7,2014-02-09,1.65155,466,58,28216
2014,8,2014-02-16,1.45711,353,58,24226
2014,9,2014-02-23,1.2469,372,55,29834
2014,10,2014-03-02,1.3024,366,52,28102
2014,11,2014-03-09,1.27717,349,52,27326
2014,12,2014-03-16,1.50866,412,47,27309
2014,13,2014-03-23,1.37952,399,48,28923
2014,14,2014-03-30,1.68397,493,50,29276
2014,15,2014-04-06,1.89628,547,46,28846
2014,16,2014-04-13,1.54012,415,44,26946
2014,17,2014-04-20,1.39503,325,46,23297
2014,18,2014-04-27,1.01512,288,45,28371
2014,19,2014-05-04,1.07308,295,41,27491
2014,20,2014-05-11,1.00655,258,35,25632
2014,21,2014-05-18,0.749749,209,37,27876
2014,22,2014-05-25,0.708627,161,34,22720
2014,23,2014-06-01,0.757277,192,32,25354
2014,24,2014-06-08,0.717355,187,33,26068
2014,25,2014-06-15,0.662935,167,32,25191
2014,26,2014-06-22,0.778862,186,31,23881
2014,27,2014-06-29,0.84533,165,30,19519
2014,28,2014-07-06,0.603396,140,28,23202
2014,29,2014-07-13,0.601338,142,29,23614
2014,30,2014-07-20,0.579598,135,29,23292
2014,31,2014-07-27,0.481064,110,28,22866
2014,32,2014-08-03,0.500134,112,29,22394
2014,33,2014-08-10,0.552634,124,29,22438
2014,34,2014-08-17,0.468604,105,29,22407
2014,35,2014-08-24,0.489302,110,28,22481
2014,36,2014-08-31,0.612085,125,29,20422
2014,37,2014-09-07,0.575474,139,28,24154
2014,38,2014-09-14,0.564925,138,29,24428
2014,39,2014-09-21,0.664808,155,29,23315
2014,40,2014-09-28,0.618429,170,47,27489
2014,41,2014-10-05,0.706026,185,46,26203
2014,42,2014-10-12,0.784763,178,46,22682
2014,43,2014-10-19,0.605295,163,48,26929
2014,44,2014-10-26,0.740407,197,47,26607
2014,45,2014-11-02,0.943831,266,50,28183
2014,46,2014-11-09,0.881402,248,50,28137
2014,47,2014-11-16,0.938086,265,50,28249
2014,48,2014-11-23,1.09112,211,48,19338
2014,49,2014-11-30,1.00662,283,50,28114
2014,50,2014-12-07,1.26052,346,49,27449
2014,51,2014-12-14,1.43959,392,49,27230
2014,52,2014-12-21,2.27933,400,46,17549
2014,53,2014-12-28,2.01187,383,46,19037
2015,1,2015-01-04,1.76238,468,47,26555
2015,2,2015-01-11,2.46778,674,46,27312
2015,3,2015-01-18,3.55623,961,51,27023
2015,4,2015-01-25,2.97916,639,49,21449
2015,5,2015-02-01,2.45614,532,48,21660
2015,6,2015-02-08,2.16851,454,48,20936
2015,7,2015-02-15,1.5576,313,47,20095
2015,8,2015-02-22,1.13747,293,48,25759
2015,9,2015-03-01,1.45583,367,43,25209
2015,10,2015-03-08,1.50027,365,45,24329
2015,11,2015-03-15,1.50587,408,46,27094
2015,12,2015-03-22,1.56529,439,46,28046
2015,13,2015-03-29,1.52827,436,46,28529
2015,14,2015-04-05,1.37273,387,45,28192
2015,15,2015-04-12,1.47236,415,44,28186
2015,16,2015-04-19,1.32892,301,44,22650
2015,17,2015-04-26,0.94502,247,42,26137
2015,18,2015-05-03,0.948982,226,37,23815
2015,19,2015-05-10,0.744121,181,36,24324
2015,20,2015-05-17,0.757729,187,33,24679
2015,21,2015-05-24,0.919678,184,31,20007
2015,22,2015-05-31,0.730572,157,29,21490
2015,23,2015-06-07,0.869925,189,27,21726
2015,24,2015-06-14,0.695212,151,27,21720
2015,25,2015-06-21,0.739986,138,25,18649
2015,26,2015-06-28,0.810289,126,25,15550
2015,27,2015-07-05,0.639635,115,25,17979
2015,28,2015-07-12,0.578848,107,24,18485
2015,29,2015-07-19,0.618067,112,24,18121
2015,30,2015-07-26,0.60925,110,24,18055
2015,31,2015-08-02,0.575323,103,24,17903
2015,32,2015-08-09,0.582876,103,24,17671
2015,33,2015-08-16,0.563607,98,22,17388
2015,34,2015-08-23,0.666414,123,23,18457
2015,35,2015-08-30,0.528587,98,23,18540
2015,36,2015-09-06,0.662703,107,24,16146
2015,37,2015-09-13,0.681726,134,24,19656
2015,38,2015-09-20,0.629266,130,25,20659
2015,39,2015-09-27,0.407127,77,24,18913
2015,40,2015-10-04,0.790429,185,44,23405
2015,41,2015-10-11,0.643767,134,43,20815
2015,42,2015-10-18,0.733375,177,44,24135
2015,43,2015-10-25,0.589921,142,41,24071
2015,44,2015-11-01,0.667916,164,44,24554
2015,45,2015-11-08,0.672289,165,45,24543
2015,46,2015-11-15,0.645367,162,44,25102
2015,47,2015-11-22,0.869205,147,42,16912
2015,48,2015-11-29,0.793021,200,46,25220
2015,49,2015-12-06,0.811212,202,46,24901
2015,50,2015-12-13,0.791949,192,45,24244
2015,51,2015-12-20,1.31384,204,41,15527
2015,52,2015-12-27,1.24224,192,43,15456
2016,1,2016-01-03,1.03824,243,43,23405
2016,2,2016-01-10,1.09204,250,42,22893
2016,3,2016-01-17,1.25813,269,45,21381
2016,4,2016-01-24,1.43077,353,45,24672
2016,5,2016-01-31,1.61123,389,45,24143
2016,6,2016-02-07,1.49574,335,45,22397
2016,7,2016-02-14,1.57182,311,44,19786
2016,8,2016-02-21,1.57617,382,42,24236
2016,9,2016-02-28,1.75215,413,42,23571
2016,10,2016-03-06,2.58081,618,42,23946
2016,11,2016-03-13,2.22927,520,40,23326
2016,12,2016-03-20,1.9326,449,42,23233
2016,13,2016-03-27,1.92072,471,42,24522
2016,14,2016-04-03,1.53833,364,41,23662
2016,15,2016-04-10,1.36795,323,41,23612
2016,16,2016-04-17,1.57377,288,36,18300
2016,17,2016-04-24,0.997163,232,37,23266
2016,18,2016-05-01,0.958786,211,38,22007
2016,19,2016-05-08,0.834063,181,36,21701
2016,20,2016-05-15,0.807351,181,33,22419
2016,21,2016-05-22,0.835339,177,28,21189
2016,22,2016-05-29,0.582216,99,26,17004
2016,23,2016-06-05,0.837011,165,25,19713
2016,24,2016-06-12,0.580504,106,24,18260
2016,25,2016-06-19,0.494651,86,23,17386
2016,26,2016-06-26,0.454519,77,22,16941
2016,27,2016-07-03,0.488679,60,23,12278
2016,28,2016-07-10,0.426677,65,22,15234
2016,29,2016-07-17,0.427722,64,24,14963
2016,30,2016-07-24,0.414841,71,23,17115
2016,31,2016-07-31,0.389268,65,22,16698
2016,32,2016-08-07,0.333677,55,22,16483
2016,33,2016-08-14,0.465679,100,25,21474
2016,34,2016-08-21,0.406466,86,25,21158
2016,35,2016-08-28,0.356064,79,26,22187
2016,36,2016-09-04,0.477624,92,25,19262
2016,37,2016-09-11,0.565901,141,26,24916
2016,38,2016-09-18,0.587343,151,27,25709
2016,39,2016-09-25,0.487732,130,28,26654
2016,40,2016-10-02,0.61873,177,45,28607
2016,41,2016-10-09,0.538175,150,47,27872
2016,42,2016-10-16,0.677688,198,46,29217
2016,43,2016-10-23,0.630021,189,46,29999
2016,44,2016-10-30,0.767178,230,46,29980
2016,45,2016-11-06,0.679392,210,45,30910
2016,46,2016-11-13,0.807039,255,44,31597
2016,47,2016-11-20,0.847225,185,48,21836
2016,48,2016-11-27,0.691585,220,44,31811
2016,49,2016-12-04,0.871126,267,44,30650
2016,50,2016-12-11,1.01981,313,45,30692
2016,51,2016-12-18,1.1781,340,45,28860
2016,52,2016-12-25,1.55035,315,44,20318
2017,1,2017-01-01,1.34451,356,45,26478
2017,2,2017-01-08,1.32576,406,45,30624
2017,3,2017-01-15,1.51277,423,47,27962
2017,4,2017-01-22,1.79816,583,46,32422
2017,5,2017-01-29,2.23652,737,47,32953
2017,6,2017-02-05,2.73075,750,45,27465
2017,7,2017-02-12,2.4473,714,44,29175
